title,author,price,genre,cover_url,description,rating,year
Book 1,Fyodor Dostoevsky,1480.22,History,https://example.com/book_covers/1.jpg,A fantastic journey through time and space.,3.5,2012
Book 2,Arthur Conan Doyle,1275.07,History,https://example.com/book_covers/2.jpg,An adventure novel with many twists.,3.8,2003
Book 3,Yuval Noah Harari,949.68,Business,https://example.com/book_covers/3.jpg,A fantastic journey through time and space.,4.4,2020
Book 4,Daniel Keyes,781.23,Science,https://example.com/book_covers/4.jpg,A practical guide to skill and mind development.,4.6,2010
Book 5,Stephen King,1076.35,Science,https://example.com/book_covers/5.jpg,An adventure novel with many twists.,3.8,1966
Book 6,J.K. Rowling,1361.84,Novel,https://example.com/book_covers/6.jpg,A historical tapestry revealing the fate of nations.,3.7,2004
Book 7,Herbert Wells,820.56,Science,https://example.com/book_covers/7.jpg,An intriguing detective story with a surprise ending.,3.1,2023
Book 8,Leo Tolstoy,1379.71,Detective,https://example.com/book_covers/8.jpg,A fantastic journey through time and space.,3.6,1964
Book 9,Ray Bradbury,304.55,Adventure,https://example.com/book_covers/9.jpg,A deep psychological analysis of personality and society.,3.8,2009
Book 10,Isaac Asimov,655.24,Business,https://example.com/book_covers/10.jpg,Biography of an outstanding person who changed the world.,3.5,2002
Book 11,Daniel Keyes,449.34,Biography,https://example.com/book_covers/11.jpg,An adventure novel with many twists.,4.3,1980
Book 12,Ray Bradbury,835.68,Detective,https://example.com/book_covers/12.jpg,"Story of love, betrayal, and strength of spirit.",3.5,1973
Book 13,J.K. Rowling,1439.12,Fantasy,https://example.com/book_covers/13.jpg,A dive into the mysteries of science and discoveries.,4.2,2012
Book 14,Isaac Asimov,1217.18,Business,https://example.com/book_covers/14.jpg,An intriguing detective story with a surprise ending.,3.4,1991
Book 15,Arthur Conan Doyle,1340.01,Fantasy,https://example.com/book_covers/15.jpg,Biography of an outstanding person who changed the world.,4.3,2000
Book 16,Leo Tolstoy,1109.04,Fantasy,https://example.com/book_covers/16.jpg,A fantastic journey through time and space.,4.4,1977
Book 17,J.K. Rowling,410.74,Novel,https://example.com/book_covers/17.jpg,An intriguing detective story with a surprise ending.,3.9,1996
Book 18,Ray Bradbury,538.33,Business,https://example.com/book_covers/18.jpg,A historical tapestry revealing the fate of nations.,3.5,2012
Book 19,Daniel Keyes,385.03,Business,https://example.com/book_covers/19.jpg,A gripping novel about human nature and the search for truth.,3.8,2007
Book 20,Arthur Conan Doyle,1202.45,Science,https://example.com/book_covers/20.jpg,An intriguing detective story with a surprise ending.,4.8,2017
Book 21,Yuval Noah Harari,618.16,Psychology,https://example.com/book_covers/21.jpg,A historical tapestry revealing the fate of nations.,4.5,1969
Book 22,Leo Tolstoy,483.73,Business,https://example.com/book_covers/22.jpg,Biography of an outstanding person who changed the world.,3.1,1992
Book 23,Daniel Keyes,1212.33,Psychology,https://example.com/book_covers/23.jpg,An intriguing detective story with a surprise ending.,4.1,2012
Book 24,Stephen King,817.5,Science,https://example.com/book_covers/24.jpg,"Story of love, betrayal, and strength of spirit.",4.6,1990
Book 25,J.K. Rowling,816.78,Biography,https://example.com/book_covers/25.jpg,A deep psychological analysis of personality and society.,3.2,1966
Book 26,Arthur Conan Doyle,927.22,Adventure,https://example.com/book_covers/26.jpg,A deep psychological analysis of personality and society.,4.4,2014
Book 27,Isaac Asimov,541.43,Detective,https://example.com/book_covers/27.jpg,A dive into the mysteries of science and discoveries.,4.2,2006
Book 28,Leo Tolstoy,1331.32,Science,https://example.com/book_covers/28.jpg,A dive into the mysteries of science and discoveries.,4.9,1983
Book 29,Ray Bradbury,877.25,History,https://example.com/book_covers/29.jpg,A historical tapestry revealing the fate of nations.,3.8,2008
Book 30,Herbert Wells,1225.53,Business,https://example.com/book_covers/30.jpg,"Story of love, betrayal, and strength of spirit.",4.0,1960
Book 31,J.K. Rowling,651.26,History,https://example.com/book_covers/31.jpg,A historical tapestry revealing the fate of nations.,4.0,2023
Book 32,Leo Tolstoy,883.13,History,https://example.com/book_covers/32.jpg,Biography of an outstanding person who changed the world.,3.8,1976
Book 33,Arthur Conan Doyle,999.9,Biography,https://example.com/book_covers/33.jpg,A historical tapestry revealing the fate of nations.,3.0,1966
Book 34,Isaac Asimov,1090.33,Fantasy,https://example.com/book_covers/34.jpg,A practical guide to skill and mind development.,4.9,1990
Book 35,Ray Bradbury,665.02,Biography,https://example.com/book_covers/35.jpg,A practical guide to skill and mind development.,3.7,1992
Book 36,Leo Tolstoy,924.37,Science,https://example.com/book_covers/36.jpg,A fantastic journey through time and space.,4.1,2021
Book 37,Yuval Noah Harari,598.25,Fantasy,https://example.com/book_covers/37.jpg,A practical guide to skill and mind development.,3.7,1987
Book 38,Yuval Noah Harari,1296.02,Business,https://example.com/book_covers/38.jpg,An adventure novel with many twists.,3.9,2008
Book 39,Isaac Asimov,369.71,Adventure,https://example.com/book_covers/39.jpg,An intriguing detective story with a surprise ending.,4.5,1997
Book 40,J.K. Rowling,1070.79,Biography,https://example.com/book_covers/40.jpg,A fantastic journey through time and space.,3.1,2010
Book 41,Herbert Wells,1265.31,Business,https://example.com/book_covers/41.jpg,A gripping novel about human nature and the search for truth.,3.6,2009
Book 42,Arthur Conan Doyle,1172.68,Business,https://example.com/book_covers/42.jpg,A fantastic journey through time and space.,4.1,2014
Book 43,Daniel Keyes,1089.01,Biography,https://example.com/book_covers/43.jpg,"Story of love, betrayal, and strength of spirit.",3.8,2006
Book 44,Stephen King,405.28,Detective,https://example.com/book_covers/44.jpg,An intriguing detective story with a surprise ending.,4.4,1972
Book 45,Ray Bradbury,980.2,Business,https://example.com/book_covers/45.jpg,Biography of an outstanding person who changed the world.,4.7,1972
Book 46,Ray Bradbury,489.21,Fantasy,https://example.com/book_covers/46.jpg,An intriguing detective story with a surprise ending.,4.0,1994
Book 47,J.K. Rowling,945.55,Business,https://example.com/book_covers/47.jpg,A deep psychological analysis of personality and society.,3.5,1969
Book 48,Yuval Noah Harari,1126.18,Novel,https://example.com/book_covers/48.jpg,"Story of love, betrayal, and strength of spirit.",4.5,1997
Book 49,Leo Tolstoy,445.32,Business,https://example.com/book_covers/49.jpg,A gripping novel about human nature and the search for truth.,3.7,2022
Book 50,Herbert Wells,524.34,Detective,https://example.com/book_covers/50.jpg,A historical tapestry revealing the fate of nations.,4.5,2012
Book 51,Yuval Noah Harari,417.2,History,https://example.com/book_covers/51.jpg,An intriguing detective story with a surprise ending.,4.6,1985
Book 52,Fyodor Dostoevsky,475.33,Novel,https://example.com/book_covers/52.jpg,A historical tapestry revealing the fate of nations.,3.6,2000
Book 53,Yuval Noah Harari,1350.79,History,https://example.com/book_covers/53.jpg,An intriguing detective story with a surprise ending.,4.4,1988
Book 54,J.K. Rowling,656.87,Biography,https://example.com/book_covers/54.jpg,"Story of love, betrayal, and strength of spirit.",3.5,1979
